Tracker,idf1,idp,idr,recall,precision,num_unique_objects,mostly_tracked,partially_tracked,mostly_lost,num_false_positives,num_misses,num_switches,num_fragmentations,mota,motp,num_transfer,num_ascend,num_migrate
BotSort,0.3689275974311604,0.4021326377967857,0.34078793394877127,0.6467299440904953,0.7631467914541061,28,5,15,8,6175,10868,82,361,0.44334286828760894,0.32744826847067776,19,39,2
ByteTrack,0.40218309859154927,0.4387002611768321,0.3712781172799376,0.64702249382395,0.7645183591949608,28,5,13,10,6131,10859,66,312,0.44558574957742814,0.32802078414927865,21,34,2
DeepSort,0.22972918323605138,0.19625048941707549,0.27697958652971005,0.7374203614614484,0.5224901540800111,28,7,15,6,20733,8078,588,713,0.044370042907294294,0.3357306477588107,160,32,13
