                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73818,                0.36505,                0.98402,                0.76794,                0.54718,                0.59671,                0.19529,                 2.4871,                 1.5723,                 2.2442,              0.0006536,              0.0006536,              0.0006536
                     36,                0.74161,                0.36665,                0.98988,                0.76639,                0.54197,                0.57649,                0.18743,                 2.4993,                 1.4337,                 2.3181,               0.000614,               0.000614,               0.000614
                     37,                0.71254,                0.35231,                 0.9727,                0.72256,                0.54915,                0.58091,                0.19002,                 2.4838,                 1.5829,                 2.2876,              0.0005744,              0.0005744,              0.0005744
                     38,                0.70258,                0.34844,                0.96444,                0.73114,                0.53669,                0.57734,                0.18826,                 2.4838,                 1.5519,                 2.3002,              0.0005348,              0.0005348,              0.0005348
                     39,                0.68573,                0.34169,                0.96524,                0.76829,                0.54239,                0.61152,                0.21159,                 2.4217,                 1.4544,                  2.241,              0.0004952,              0.0004952,              0.0004952
                     40,                0.68157,                0.34233,                0.95802,                0.75095,                 0.5393,                0.60224,                0.20307,                 2.4673,                 1.6008,                 2.3089,              0.0004556,              0.0004556,              0.0004556
                     41,                0.62795,                0.29858,                0.96956,                0.75541,                0.53481,                0.57669,                0.19166,                 2.4598,                  1.538,                 2.3026,               0.000416,               0.000416,               0.000416
                     42,                0.61724,                0.29425,                 0.9623,                0.72225,                0.54144,                0.57917,                0.19362,                 2.4452,                 1.7071,                 2.3064,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60144,                 0.2899,                0.95258,                0.74201,                 0.5426,                0.58323,                0.20203,                 2.4197,                 1.5091,                 2.2839,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58658,                0.28378,                 0.9474,                 0.7547,                0.54477,                0.59927,                0.20193,                 2.4484,                 1.5066,                 2.3247,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57554,                0.27986,                0.93832,                0.73522,                0.54472,                0.59783,                0.19877,                 2.4631,                 1.5739,                 2.3437,              0.0002576,              0.0002576,              0.0002576
                     46,                0.55533,                0.26996,                0.92263,                0.74597,                0.53268,                0.58299,                 0.1953,                 2.4704,                 1.5388,                 2.3877,               0.000218,               0.000218,               0.000218
                     47,                0.54506,                0.26653,                0.92619,                0.73274,                0.53891,                0.58461,                0.19784,                 2.4557,                 1.5241,                  2.386,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.5244,                 0.2593,                0.91118,                0.76477,                 0.5252,                0.58771,                0.20071,                 2.4441,                 1.5148,                 2.3978,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.5196,                0.25805,                0.91264,                0.76734,                0.53001,                0.59714,                0.20032,                 2.4464,                 1.5758,                 2.4094,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.50508,                0.25168,                 0.9017,                0.73987,                0.54091,                0.59241,                0.20035,                 2.4416,                 1.6007,                  2.403,               5.96e-05,               5.96e-05,               5.96e-05
